occupation_title,task,rating
"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",Perform routine maintenance on rolling machines to ensure proper operation and prevent downtime.,2
"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",Check gauges and instruments to verify conformity with product specifications.,3
"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",Load materials into the machine and ensure proper alignment before starting the rolling process.,1
"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",Maintain accurate production records and logs to track output and quality metrics.,3
"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",Collaborate with team members to troubleshoot any issues that arise during production.,2
"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",Follow safety protocols and maintain a clean and organized work area to ensure a safe working environment.,1
"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",Train new operators or apprentices on machine operation and safety procedures.,1
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic","Set up machines for cutting, punching, or pressing operations according to specifications",2
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic","Select and install cutting tools, dies, and other components on machines",1
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",Adjust machine settings based on material type and thickness,2
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",Inspect and measure finished products to ensure quality standards are met,2
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",Operate machines to produce parts and components according to production schedules,2
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",Monitor machine operations for problems and make adjustments as necessary,2
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",Perform routine maintenance on machinery to ensure proper functioning,1
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",Maintain accurate production records and reports,3
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",Conduct tests on products for quality assurance,3
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",Clean machines and work areas regularly to maintain a safe and organized workspace,1
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",Collaborate with engineers and supervisors to resolve production issues,2
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",Train new operators on proper machine operation and safety protocols,1
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",Calibrate machines and tools to exact specifications as required,3
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",Follow safety procedures and regulations to avoid workplace injuries,1
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",Review blueprints and technical specifications to understand project requirements,3
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",Assist in the troubleshooting and repair of equipment malfunctions,1
"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",Set up and adjust drilling and boring machines according to specifications and work orders.,2
"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",Select and install tooling and fixtures suitable for the workpiece material and specifications.,2
"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic","Load and unload workpieces onto machines, ensuring proper alignment and securing of materials.",1
"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",Monitor machine operations and adjust controls as necessary to maintain quality and accuracy.,3
"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",Inspect finished products for defects and ensure they meet specifications and quality standards.,3
"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic","Maintain accurate records of production counts, adjustments, and machine maintenance.",3
"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",Perform routine maintenance and cleaning of machines to ensure proper function and extend machine life.,2
"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",Collaborate with engineers and designers to resolve technical issues and improve production processes.,2
"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",Train new workers on machine operations and safety procedures as needed.,1
"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic","Adhere to safety protocols and practices, using personal protective equipment (PPE) as required.",1
"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic","Set up and adjust grinding, lapping, polishing, and buffing machines according to specifications.",1
"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic","Select and install grinding wheels, polishing pads, and other abrasives.",2
"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic","Inspect parts to ensure they meet specifications using calipers, gauges, and other measuring tools.",3
"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",Monitor machine operations and observe indicators to ensure proper performance and efficiency.,3
"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic","Clean and maintain machines, tools, and work areas to ensure a safe and efficient working environment.",1
"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",Record production data and machine performance for quality control purposes.,3
